,winner_name,subject,year,url
0,Wilhelm Röntgen,Physics,1901,/wiki/Wilhelm_R%C3%B6ntgen
1,Jacobus Henricus van 't Hoff,Chemistry,1901,/wiki/Jacobus_Henricus_van_%27t_Hoff
2,Emil von Behring,Physiologyor Medicine,1901,/wiki/Emil_von_Behring
3,Sully Prudhomme,Literature,1901,/wiki/Sully_Prudhomme
4,Henry Dunant;Frédéric Passy,Peace,1901,/wiki/Henry_Dunant
5,Hendrik Lorentz;Pieter Zeeman,Physics,1902,/wiki/Hendrik_Lorentz
6,Emil Fischer,Chemistry,1902,/wiki/Pieter_Zeeman
7,Ronald Ross,Physiologyor Medicine,1902,/wiki/Emil_Fischer
8,Theodor Mommsen,Literature,1902,/wiki/Ronald_Ross
9,Henri Becquerel;Pierre Curie;Marie Curie,Physics,1903,/wiki/Henri_Becquerel
10,Svante Arrhenius,Chemistry,1903,/wiki/Pierre_Curie
11,Niels Ryberg Finsen,Physiologyor Medicine,1903,/wiki/Marie_Curie
12,Bjørnstjerne Bjørnson,Literature,1903,/wiki/Svante_Arrhenius
13,Lord Rayleigh,Physics,1904,"/wiki/John_Strutt,_3rd_Baron_Rayleigh"
14,William Ramsay,Chemistry,1904,/wiki/William_Ramsay
15,Ivan Pavlov,Physiologyor Medicine,1904,/wiki/Ivan_Pavlov
16,Frédéric Mistral;José Echegaray,Literature,1904,/wiki/Fr%C3%A9d%C3%A9ric_Mistral
17,Philipp Lenard,Physics,1905,/wiki/Philipp_Lenard
18,Adolf von Baeyer,Chemistry,1905,/wiki/Adolf_von_Baeyer
19,Robert Koch,Physiologyor Medicine,1905,/wiki/Robert_Koch
20,Henryk Sienkiewicz,Literature,1905,/wiki/Henryk_Sienkiewicz
21,J. J. Thomson,Physics,1906,/wiki/J._J._Thomson
22,Henri Moissan,Chemistry,1906,/wiki/Henri_Moissan
23,Camillo Golgi;Santiago Ramón y Cajal,Physiologyor Medicine,1906,/wiki/Camillo_Golgi
24,Giosuè Carducci,Literature,1906,/wiki/Santiago_Ram%C3%B3n_y_Cajal
25,Albert A. Michelson,Physics,1907,/wiki/Albert_A._Michelson
26,Eduard Buchner,Chemistry,1907,/wiki/Eduard_Buchner
27,Charles Louis Alphonse Laveran,Physiologyor Medicine,1907,/wiki/Charles_Louis_Alphonse_Laveran
28,Rudyard Kipling,Literature,1907,/wiki/Rudyard_Kipling
